iter	Passed	Remaining
0	2	243
1	5	271
2	7	245
3	9	217
4	10	207
5	12	198
6	14	192
7	16	194
8	20	203
9	22	198
10	24	194
11	25	189
12	27	184
13	29	180
14	31	180
15	35	188
16	37	182
17	38	177
18	40	172
19	41	167
20	43	162
21	44	156
22	45	152
23	47	148
24	49	149
25	51	145
26	52	140
27	53	136
28	54	132
29	55	128
30	55	124
31	56	120
32	57	117
33	58	113
34	59	110
35	60	107
36	62	106
37	63	104
38	64	101
39	65	98
40	66	95
41	66	92
42	67	89
43	68	87
44	69	84
45	70	82
46	71	80
47	71	77
48	72	75
49	73	73
50	74	71
51	75	69
52	78	69
53	79	67
54	80	65
55	80	63
56	81	61
57	82	59
58	83	57
59	84	56
60	85	54
61	86	52
62	86	51
63	87	49
64	88	47
65	89	46
66	92	45
67	93	44
68	94	42
69	95	40
70	96	39
71	97	37
72	98	36
73	98	34
74	99	33
75	100	31
76	101	30
77	102	28
78	102	27
79	103	25
80	104	24
81	107	23
82	108	22
83	109	20
84	110	19
85	110	18
86	111	16
87	112	15
88	113	14
89	114	12
90	115	11
91	115	10
92	116	8
93	117	7
94	118	6
95	119	4
96	121	3
97	122	2
98	123	1
99	124	0
